Name,Code,StartDate,EndDate,PolicyType,PolicyContent,PolicyValue,Flag
Aruba,ABW,20200310,,H2,Testing policy,1,
Aruba,ABW,20200315,20200417,C8,International travel controls,3,
Aruba,ABW,20200316,20200517,C1,School closing,3,1
Aruba,ABW,20200318,,H1,Public information campaigns,2,1
Aruba,ABW,20200319,,H3,Contact tracing,1,
Aruba,ABW,20200321,20200328,C2,Workplace closing,2,1
Aruba,ABW,20200321,20200328,C6,Stay at home requirements,1,1
Aruba,ABW,20200329,20200503,C2,Workplace closing,3,1
Aruba,ABW,20200329,20200517,C3,Cancel public events,2,1
Aruba,ABW,20200329,20200517,C4,Restrictions on gatherings,4,1
Aruba,ABW,20200329,20200409,C6,Stay at home requirements,2,1
Aruba,ABW,20200329,,C7,Restrictions on internal movement,2,1
Aruba,ABW,20200330,,E2,Debt/contract relief,2,
Aruba,ABW,20200401,,E1,Income support,2,0
Aruba,ABW,20200410,20200410,C6,Stay at home requirements,3,1
Aruba,ABW,20200411,20200411,C6,Stay at home requirements,2,1
Aruba,ABW,20200412,20200413,C6,Stay at home requirements,3,1
Aruba,ABW,20200414,20200527,C6,Stay at home requirements,2,1
Aruba,ABW,20200418,20200419,C8,International travel controls,4,
Aruba,ABW,20200420,,C8,International travel controls,3,
Aruba,ABW,20200504,,C2,Workplace closing,2,1
Aruba,ABW,20200518,,C1,School closing,0,
Aruba,ABW,20200518,,C3,Cancel public events,0,
Aruba,ABW,20200518,,C4,Restrictions on gatherings,0,
Aruba,ABW,20200528,,C6,Stay at home requirements,1,1
Afghanistan,AFG,20200223,,C8,International travel controls,3,
Afghanistan,AFG,20200223,,H2,Testing policy,1,
Afghanistan,AFG,20200224,,H3,Contact tracing,1,
Afghanistan,AFG,20200301,20200317,C3,Cancel public events,2,0
Afghanistan,AFG,20200301,,H1,Public information campaigns,2,1
Afghanistan,AFG,20200314,,C1,School closing,3,1
Afghanistan,AFG,20200318,,C3,Cancel public events,2,1
Afghanistan,AFG,20200324,,C2,Workplace closing,3,0
Afghanistan,AFG,20200325,,C6,Stay at home requirements,2,0
